property_id,property_address,property_city,property_state,property_zip,property_county,property_type_detail,bedroom_count,bathroom_count,total_building_area_square_feet,lot_size_square_feet,year_built,estimated_value,last_sale_price,last_sale_date,zoning_code,total_assessed_value,mls_status,mls_listing_date,mls_listing_amount,borough
1,430 Lexington Ave,Brooklyn,NY,11221-1202,Kings,Duplex,5.0,2.0,1944.0,1800.0,1901.0,2191564.0,1975000.0,2021-08-06,R6B,70080.0,Off Market,2024-05-15,6950.0,Brooklyn
2,1588 Pacific St,Brooklyn,NY,11213-1105,Kings,Duplex,5.0,6.0,2750.0,1786.0,2004.0,704342.0,691210.0,2024-05-01,R6,74580.0,Off Market,2023-03-22,1599000.0,Brooklyn
3,214 Patchen Ave,Brooklyn,NY,11233-1528,Kings,Duplex,5.0,4.0,2440.0,1600.0,1899.0,1912121.0,,2024-01-31,R6B,105180.0,Off Market,2024-02-20,1949000.0,Brooklyn
4,7 Macon St,Brooklyn,NY,11216-6556,Kings,Triplex,4.0,4.0,2560.0,1600.0,1899.0,1600412.0,1407500.0,2021-03-19,R6B,108480.0,,,0.0,Brooklyn
5,827 Putnam Ave,Brooklyn,NY,11221-7474,Kings,Quadruplex,7.0,4.0,2700.0,2000.0,1931.0,1882443.0,1800000.0,2023-12-20,R6B,232200.0,Off Market,2023-06-14,2200000.0,Brooklyn
6,675 Greene Ave,Brooklyn,NY,11221-6697,Kings,Duplex,4.0,3.0,2000.0,2000.0,1899.0,1533470.0,1350000.0,2021-03-02,R6B,61980.0,Sold,2020-06-14,1450000.0,Brooklyn
7,1309 Gates Ave,Brooklyn,NY,11221-4705,Kings,Triplex,9.0,6.0,3900.0,1945.0,2007.0,1512700.0,1475000.0,2024-09-03,R6,75180.0,Sold,2024-07-10,1300000.0,Brooklyn
8,939 Saint Johns Pl,Brooklyn,NY,11213-2515,Kings,Triplex,6.0,4.0,3280.0,2405.0,1910.0,1574960.0,1415000.0,2022-12-27,R6,96720.0,Sold,2022-06-02,1500000.0,Brooklyn
9,2204 Himrod St,Ridgewood,NY,11385-1211,Queens,Duplex,5.0,2.0,2160.0,2400.0,1930.0,972027.0,1125000.0,2023-03-30,R5B,66720.0,Sold,2023-01-23,999000.0,Brooklyn
10,1125 Halsey St,Brooklyn,NY,11207-2292,Kings,Triplex,,,2988.0,1992.0,1920.0,909470.0,810000.0,2021-05-11,R6,92940.0,Sold,2021-03-08,899000.0,Brooklyn
11,1147 Hancock St,Brooklyn,NY,11221-6071,Kings,Duplex,9.0,3.0,2700.0,2000.0,1910.0,1128240.0,650000.0,2014-03-12,R6,81540.0,Pending,2024-06-05,1150000.0,Brooklyn
12,7231 65th Pl,Ridgewood,NY,11385-6929,Queens,Duplex,3.0,1.0,2248.0,2000.0,1910.0,842984.0,995000.0,2021-10-14,R5B,55680.0,Sold,2021-06-08,988000.0,Brooklyn
