property_id,property_address,property_city,property_state,property_zip,property_county,property_type_detail,bedroom_count,bathroom_count,total_building_area_square_feet,lot_size_square_feet,year_built,estimated_value,last_sale_price,last_sale_date,zoning_code,total_assessed_value,mls_status,mls_listing_date,mls_listing_amount,borough
1,26 Washington Sq N,New York,NY,10011-9167,New York,Apartment House (5+ Units),10.0,13.0,7631.0,2418.0,1900.0,2801703.0,,2002-03-14,R6,1123668.0,Off Market,2024-10-14,27500000,Manhattan
2,29 W 12th St,New York,NY,10011-8512,New York,Apartment House (5+ Units),,1.0,7993.0,2287.0,1920.0,2683336.0,,2002-07-09,R6,1346760.0,Off Market,,0,Manhattan
3,141 Macdougal St,New York,NY,10012,New York,Cooperative Unit,,,13070.0,2924.0,1900.0,,,,R7-2,1462500.0,,,0,Manhattan
4,64 Avenue C,New York,NY,10009-6928,New York,Cooperative Unit,,,16872.0,3991.0,1910.0,5207213.0,,,R7A,767520.0,,,0,Manhattan
5,69 Washington Pl,New York,NY,10011-9183,New York,Cooperative Unit,,,5378.0,2144.0,1900.0,1652774.0,,,R7-2,623337.0,Off Market,,0,Manhattan
6,180 Riverside Dr,New York,NY,10024-1021,New York,Cooperative Unit,,,203436.0,18350.0,1922.0,,100000.0,2019-05-17,R10A,13852440.0,Off Market,,0,Manhattan
7,534 9th Ave,New York,NY,10018-1307,New York,Cooperative Unit,,,9575.0,2475.0,1901.0,338976.0,158640.0,2016-10-28,C17A,921060.0,Off Market,,0,Manhattan
8,1020 5th Ave,New York,NY,10028-0133,New York,Cooperative Unit,5.0,5.0,66983.0,6216.0,1925.0,782710.0,,2020-12-09,R10,7493340.0,Off Market,2008-09-12,0,Manhattan
9,166 Mulberry St,New York,NY,10013-3751,New York,Cooperative Unit,1.0,1.0,6045.0,2404.0,1900.0,2708559.0,7500.0,2012-07-17,C62G,312757.0,Off Market,,0,Manhattan
10,210 Forsyth St,New York,NY,10002-1332,New York,Cooperative Unit,,,8820.0,2500.0,1900.0,590285.0,,,C44A,747603.0,Off Market,,0,Manhattan
